episode,timestep,reward
46,480,1.1109
99,960,1.016
149,1440,1.0379
194,1920,1.1677
231,2400,1.3047
266,2880,1.3894
299,3360,1.3899
330,3840,1.475
360,4320,1.4102
388,4800,1.7725
413,5280,1.8164
441,5760,1.7934
457,6240,2.2801
474,6720,2.0843
489,7200,2.3818
503,7680,2.3963
520,8160,2.3997
531,8640,2.6689
543,9120,3.276
556,9600,3.1133
568,10080,2.8375
578,10560,2.97
589,11040,3.4148
601,11520,3.5396
612,12000,3.3664
622,12480,3.9474
633,12960,3.7833
643,13440,4.1648
654,13920,4.6995
663,14400,4.1327
673,14880,5.2992
683,15360,4.9476
691,15840,4.8188
699,16320,5.0122
708,16800,8.4406
719,17280,6.5689
728,17760,5.4523
735,18240,10.3555
742,18720,10.5319
750,19200,7.9783
758,19680,9.5865
767,20160,9.4066
774,20640,11.547
782,21120,8.1576
789,21600,17.4919
796,22080,15.1847
803,22560,16.5307
811,23040,13.9784
817,23520,21.3167
822,24000,13.7041
829,24480,22.1009
835,24960,20.7692
841,25440,23.8544
847,25920,21.4936
852,26400,22.521
858,26880,30.9695
864,27360,26.3157
870,27840,24.9943
876,28320,27.6216
881,28800,38.5944
886,29280,26.2493
892,29760,25.9593
897,30240,23.8833
902,30720,35.5578
908,31200,31.1633
913,31680,29.0229
919,32160,30.2703
924,32640,35.6559
930,33120,30.7156
936,33600,36.0858
941,34080,34.3331
947,34560,35.0732
952,35040,41.3349
958,35520,33.332
963,36000,36.5843
969,36480,37.794
974,36960,41.7282
979,37440,39.2015
984,37920,40.1673
990,38400,39.1784
994,38880,39.4252
999,39360,38.7264
1004,39840,43.7043
1009,40320,39.8321
1014,40800,44.9936
1019,41280,39.3895
1024,41760,41.8547
1030,42240,40.648
1035,42720,46.0352
1039,43200,41.7822
1045,43680,40.8697
1050,44160,46.5298
1055,44640,41.7547
1060,45120,46.1219
1064,45600,43.6006
1069,46080,45.7874
1074,46560,42.6495
1079,47040,42.4257
1084,47520,47.0896
1089,48000,47.0548
1094,48480,47.525
1098,48960,48.9026
1103,49440,45.4589
1108,49920,46.3841
1113,50400,40.1094
1118,50880,45.4456
1122,51360,43.5055
1127,51840,46.5098
1132,52320,51.715
1136,52800,50.8268
1141,53280,47.0267
1145,53760,51.2305
1149,54240,46.2608
1154,54720,52.7516
1158,55200,57.8162
1162,55680,51.6018
1167,56160,41.8901
1172,56640,53.807
1176,57120,49.8051
1181,57600,45.5951
1185,58080,55.4322
1189,58560,47.811
1194,59040,52.2291
1198,59520,56.0918
1201,60000,60.5447
1205,60480,60.9075
1209,60960,57.7264
1213,61440,58.346
1217,61920,59.7784
1221,62400,66.4046
1225,62880,55.1874
1228,63360,73.0954
1231,63840,84.5372
1234,64320,78.1851
1236,64800,88.2627
1239,65280,70.7313
1242,65760,86.1768
1245,66240,74.0947
1249,66720,56.8355
1252,67200,78.3372
1256,67680,57.9306
1260,68160,62.8277
1263,68640,64.6938
1267,69120,69.2175
1271,69600,74.3435
1274,70080,76.6759
1276,70560,93.048
1279,71040,73.3772
1283,71520,72.4633
1286,72000,75.3986
1290,72480,78.4974
1294,72960,61.3288
1297,73440,64.3937
1300,73920,88.8327
1303,74400,85.5924
1306,74880,80.5304
1309,75360,83.7974
1313,75840,77.3588
1315,76320,86.674
1319,76800,77.0628
1322,77280,87.7332
1325,77760,92.8683
1328,78240,77.1607
1331,78720,80.0538
1334,79200,91.2534
1337,79680,92.9635
1339,80160,100.2703
1343,80640,78.9013
1346,81120,90.3111
1349,81600,74.322
1351,82080,103.1532
1354,82560,107.0638
1356,83040,110.2015
1359,83520,101.643
1361,84000,129.8793
1364,84480,110.1069
1366,84960,101.2998
1369,85440,99.2164
1371,85920,95.9911
1374,86400,112.4693
1377,86880,114.1598
1379,87360,113.9902
1381,87840,119.2878
1384,88320,124.1327
1386,88800,105.4594
1389,89280,112.6485
1391,89760,123.5908
1393,90240,117.1495
1396,90720,121.3796
1398,91200,131.0673
1400,91680,84.8427
1403,92160,113.6159
1406,92640,92.4136
1408,93120,126.7845
1411,93600,113.2447
1413,94080,124.3863
1415,94560,134.9744
