Training with 0, 1, 1 position
episode,timestep,reward
51,600,0.7837
105,1200,0.8108
154,1800,0.9558
202,2400,0.8787
242,3000,1.3241
286,3600,1.153
318,4200,1.578
347,4800,1.7864
377,5400,1.7588
401,6000,2.1743
421,6600,4.171
449,7200,2.5607
467,7800,4.2941
485,8400,4.8074
509,9000,3.9788
530,9600,4.2535
551,10200,5.1456
569,10800,6.1954
587,11400,7.1778
602,12000,7.0938
616,12600,12.0964
631,13200,8.8399
640,13800,15.9242
650,14400,14.18
660,15000,12.7756
672,15600,13.2237
681,16200,15.331
691,16800,13.3876
699,17400,23.7385
708,18000,19.9328
717,18600,19.6715
726,19200,16.2778
734,19800,20.8535
743,20400,19.3684
749,21000,29.8831
757,21600,23.0226
765,22200,30.0273
772,22800,26.8799
778,23400,38.0635
784,24000,38.0881
790,24600,25.5895
796,25200,35.5654
801,25800,29.8417
807,26400,29.2464
814,27000,26.7422
819,27600,36.25
823,28200,54.2389
828,28800,42.1973
833,29400,46.7693
837,30000,51.6474
843,30600,54.7973
847,31200,53.9097
851,31800,64.1777
855,32400,73.2701
858,33000,60.6972
862,33600,73.7566
866,34200,76.9598
870,34800,67.27
873,35400,103.7098
876,36000,94.1294
878,36600,123.0862
881,37200,118.1018
883,37800,171.6618
886,38400,101.5642
889,39000,90.9003
891,39600,92.6165
893,40200,117.9683
895,40800,137.5921
898,41400,137.4164
900,42000,141.1366
903,42600,120.1764
906,43200,104.0159
908,43800,161.3261
912,44400,81.9655
914,45000,136.5453
916,45600,170.6012
918,46200,176.9892
921,46800,147.6696
923,47400,96.9111
926,48000,191.9009
928,48600,148.7796
930,49200,200.4348
932,49800,179.7589
934,50400,217.3861
939,51000,56.4613
942,51600,197.0636
945,52200,91.1794
949,52800,127.4696
951,53400,209.1511
953,54000,205.9861
955,54600,230.9796
958,55200,194.6097
961,55800,139.3816
963,56400,184.1605
965,57000,187.1456
967,57600,234.2623
970,58200,170.5018
973,58800,105.3043
976,59400,185.833
978,60000,245.7587
980,60600,248.3512
982,61200,280.8625
984,61800,238.5672
986,62400,267.5578
989,63000,190.6937
991,63600,152.571
993,64200,275.9115
995,64800,252.2256
997,65400,235.5672
1000,66000,169.2884
1002,66600,275.3175
1004,67200,282.835
1007,67800,174.9676
1009,68400,214.3156
1011,69000,188.6516
1013,69600,264.4672
1016,70200,160.8778
1018,70800,283.4273
1020,71400,286.8608
1022,72000,210.0598
1024,72600,273.0338
1026,73200,299.6925
1028,73800,173.6663
1030,74400,183.0976
1032,75000,244.4412
1034,75600,269.0728
1037,76200,223.1455
1039,76800,229.4163
1041,77400,224.5064
1044,78000,173.8457
1046,78600,239.0211
1048,79200,251.5702
1051,79800,213.382
1053,80400,173.6979
1055,81000,265.8241
1057,81600,274.7326
1059,82200,245.1819
1061,82800,256.9251
1063,83400,277.5983
1065,84000,213.5086
1067,84600,256.4707
1069,85200,246.617
1071,85800,267.1638
1073,86400,263.8652
1076,87000,216.8881
1078,87600,258.6755
1080,88200,219.0152
1082,88800,238.5853
1084,89400,246.8784
1086,90000,261.4517
1088,90600,258.217
1090,91200,244.9644
1092,91800,230.8614
1094,92400,190.8381
1097,93000,156.9946
1100,93600,232.7908
1102,94200,211.4382
1104,94800,220.9845
1106,95400,258.9849
1108,96000,261.533
1110,96600,255.4643
1112,97200,253.5096
1114,97800,273.5143
1116,98400,263.8171
1118,99000,271.9951
1120,99600,267.8152
1122,100200,276.8477
1125,100800,205.0877
1127,101400,269.0927
1129,102000,283.9147
1132,102600,165.9649
1134,103200,194.61
1136,103800,233.7976
1139,104400,134.6118
1141,105000,252.05
1143,105600,280.5933
1145,106200,192.62
1148,106800,201.5534
1150,107400,236.5662
1152,108000,226.4228
1154,108600,166.6734
1156,109200,285.0893
1158,109800,310.3078
1160,110400,309.1593
1162,111000,259.5318
1164,111600,238.8367
1167,112200,225.3661
1169,112800,200.534
1171,113400,257.7522
1173,114000,278.8233
1175,114600,278.9907
1178,115200,170.1938
1180,115800,237.4959
1182,116400,217.2886
1185,117000,246.3994
1187,117600,229.2361
1189,118200,274.4453
1191,118800,196.0424
1193,119400,279.413
1195,120000,198.314
1197,120600,276.829
1200,121200,186.5359
1202,121800,257.9791
1204,122400,225.9186
1206,123000,255.4719
1208,123600,240.7917
1210,124200,237.3783
1212,124800,279.307
1214,125400,257.2561
1217,126000,253.5856
1219,126600,302.509
1221,127200,272.1279
1223,127800,261.9795
1225,128400,265.5052
1227,129000,202.5066
1229,129600,270.8536
1231,130200,244.8329
1233,130800,212.2747
1235,131400,269.8546
1237,132000,283.2298
1239,132600,272.1198
1241,133200,236.5164
1243,133800,228.7579
1246,134400,194.2706
1248,135000,256.196
1250,135600,260.6687
1252,136200,249.7963
1254,136800,250.1095
1256,137400,226.0816
1258,138000,250.9971
1261,138600,185.1581
1263,139200,207.5117
1265,139800,256.8154
1267,140400,263.5933
1269,141000,197.5359
1271,141600,287.4225
1273,142200,268.6253
1275,142800,243.1528
1277,143400,227.2462
1280,144000,199.6589
1282,144600,263.0188
1284,145200,290.2289
1286,145800,277.5844
1288,146400,246.3992
1290,147000,273.4716
1292,147600,220.6293
1295,148200,164.3134
1297,148800,238.2524
1299,149400,257.2563
1301,150000,242.4008
1303,150600,211.4088
1305,151200,231.5375
1307,151800,286.3894
1309,152400,294.4296
1312,153000,228.5217
1314,153600,216.7468
1316,154200,276.504
1318,154800,272.4038
1320,155400,235.5771
1322,156000,264.8406
1324,156600,231.0093
1326,157200,285.1533
1328,157800,261.7386
1330,158400,233.2653
1333,159000,209.5558
1335,159600,275.6512
1337,160200,253.3761
1339,160800,272.3037
1341,161400,262.968
1343,162000,291.0081
1345,162600,276.7669
1347,163200,293.9791
1349,163800,259.464
1351,164400,272.652
1353,165000,283.9527
1356,165600,184.5836
1358,166200,258.7966
1360,166800,271.4064
1362,167400,267.4517
1364,168000,268.3962
1366,168600,225.6208
1368,169200,261.7963
1370,169800,209.0037
1372,170400,246.338
1374,171000,272.4583
1376,171600,287.4085
1378,172200,264.4908
1381,172800,213.4371
1383,173400,265.509
1386,174000,211.8829
1388,174600,317.9149
1390,175200,261.0076
1392,175800,253.1416
1394,176400,247.6909
1396,177000,259.5547
1398,177600,311.3014
1401,178200,231.2488
1403,178800,212.8415
1405,179400,287.1727
1407,180000,228.4331
1409,180600,300.5599
1411,181200,287.8764
1413,181800,269.1981
1415,182400,290.5003
1417,183000,287.184
1419,183600,217.7886
1421,184200,266.8247
1423,184800,301.9848
1426,185400,227.9655
1428,186000,242.7168
1430,186600,239.4889
1433,187200,171.895
1435,187800,199.1103
1437,188400,245.3517
1439,189000,193.4878
1442,189600,197.2495
1444,190200,257.3141
1448,190800,188.134
1450,191400,272.6431
1452,192000,269.6451
1454,192600,226.3608
1456,193200,240.5396
1459,193800,172.7245
1461,194400,240.5421
1463,195000,259.9499
1466,195600,171.2362
1469,196200,156.871
1471,196800,269.9759
1474,197400,206.4922
1476,198000,303.395
1478,198600,282.8013
1481,199200,188.9577
1483,199800,207.2561
1486,200400,162.8393
1488,201000,289.9306
1493,201600,146.6221
1495,202200,184.2136
1497,202800,296.8885
1499,203400,280.6713
1501,204000,303.0363
1504,204600,211.4745
1506,205200,292.6126
1508,205800,274.5176
1510,206400,299.3108
1512,207000,222.5123
1515,207600,234.9573
1517,208200,294.5712
1519,208800,303.1538
1522,209400,185.8903
1525,210000,142.5086
1527,210600,292.8052
1529,211200,189.2307
1531,211800,261.4372
1533,212400,287.2569
1536,213000,221.5071
1538,213600,289.463
1540,214200,297.9054
1542,214800,287.7901
1544,215400,232.8657
1546,216000,319.0213
1548,216600,312.1035
1551,217200,221.1168
1553,217800,329.0676
1555,218400,303.181
1558,219000,269.887
1560,219600,171.7904
1564,220200,203.3452
1566,220800,213.2434
1568,221400,311.9965
1571,222000,221.8621
1573,222600,282.1682
1575,223200,322.7985
1577,223800,323.8786
1580,224400,197.3833
1582,225000,311.6767
1584,225600,312.8298
1586,226200,308.4243
1589,226800,204.0164
1591,227400,304.7626
1594,228000,181.8113
1596,228600,305.7116
1598,229200,198.0047
1600,229800,321.7752
1604,230400,185.5284
1606,231000,307.5911
1608,231600,318.6237
1610,232200,314.0632
1612,232800,206.9217
1614,233400,300.7625
1616,234000,261.6081
1618,234600,295.8815
1620,235200,319.6658
1622,235800,296.8137
1624,236400,299.4747
1626,237000,315.3867
1628,237600,309.6784
1630,238200,314.8144
1632,238800,329.7526
1634,239400,322.7797
1636,240000,315.4974
1638,240600,333.7604
1640,241200,315.0164
1642,241800,332.5094
1644,242400,314.6253
1646,243000,328.1072
1649,243600,235.2121
1651,244200,311.5611
1653,244800,325.3685
1655,245400,299.6798
1657,246000,295.9319
1659,246600,306.4246
1661,247200,294.6762
1663,247800,302.4045
1665,248400,292.8682
1667,249000,306.4193
1669,249600,312.3112
1671,250200,307.2096
1673,250800,314.8712
1675,251400,302.2214
1677,252000,308.5135
1679,252600,315.253
1681,253200,296.7141
1683,253800,315.8156
1685,254400,280.8574
1687,255000,310.1271
1689,255600,301.6891
1691,256200,309.8339
1693,256800,281.2786
1695,257400,311.2609
1697,258000,293.4099
1699,258600,297.6401
1701,259200,308.9185
1703,259800,310.5582
1705,260400,295.1908
1707,261000,289.2727
1709,261600,291.5246
1711,262200,306.0047
1713,262800,332.4906
1715,263400,326.9652
1717,264000,300.5063
1719,264600,322.7807
1721,265200,320.0556
1723,265800,331.2145
1725,266400,307.9529
1727,267000,335.0954
1729,267600,307.6575
1731,268200,323.7493
1733,268800,329.5475
1735,269400,302.263
1737,270000,303.4739
1739,270600,326.5743
1741,271200,316.2463
1743,271800,300.6611
1745,272400,230.0079
1747,273000,288.8719
1749,273600,315.5971
1751,274200,303.0868
1753,274800,317.5108
1755,275400,338.2552
1757,276000,318.3324
1759,276600,317.016
1762,277200,313.1625
1764,277800,322.4255
1766,278400,301.983
1768,279000,305.1321
1770,279600,320.972
1772,280200,332.5428
1774,280800,283.4849
1776,281400,311.5422
1778,282000,329.0745
1780,282600,301.6624
1782,283200,309.1721
1784,283800,303.0468
1786,284400,319.7495
1788,285000,305.689
1790,285600,235.5676
1792,286200,313.677
1794,286800,302.4066
1796,287400,310.4826
1798,288000,273.5891
1800,288600,321.0905
1802,289200,294.0489
1804,289800,320.7774
1806,290400,319.4742
1808,291000,321.5545
1810,291600,313.3352
1812,292200,298.7578
1814,292800,303.5597
1816,293400,306.2239
1818,294000,317.2467
1820,294600,302.3524
1822,295200,307.7897
1824,295800,318.9405
1826,296400,320.2485
1828,297000,311.6562
1830,297600,298.3864
1832,298200,301.8993
1834,298800,320.9623
1836,299400,300.9125
1838,300000,310.8362
1840,300600,312.9752
1842,301200,319.7077
1844,301800,302.525
1846,302400,302.2589
1848,303000,299.9083
1850,303600,312.3509
1852,304200,304.5196
1855,304800,188.8416
1857,305400,309.6956
1859,306000,324.5717
1861,306600,317.7555
1863,307200,321.6367
1866,307800,253.3724
1868,308400,311.6638
1870,309000,316.2991
1872,309600,314.4513
1874,310200,314.1089
1876,310800,313.8195
1878,311400,304.4025
1880,312000,319.7494
1882,312600,319.73
1884,313200,203.8959
1886,313800,325.1479
1888,314400,333.4309
1890,315000,320.4439
1892,315600,306.9657
1894,316200,302.6848
1896,316800,317.5432
1898,317400,310.6547
1900,318000,311.6073
1902,318600,304.8127
1904,319200,314.3606
1906,319800,321.0712
1908,320400,321.9653
1910,321000,315.4581
1913,321600,244.6372
1915,322200,308.2787
1918,322800,251.1306
1920,323400,316.8826
1922,324000,315.3047
1924,324600,330.0394
1926,325200,318.4062
1928,325800,310.2613
1930,326400,306.817
1932,327000,329.7459
1934,327600,208.833
1936,328200,328.153
1938,328800,316.9573
1940,329400,307.2282
1942,330000,325.1074
1944,330600,327.7967
1946,331200,325.6172
1948,331800,313.2999
1950,332400,286.4071
1952,333000,316.3997
1954,333600,273.7575
1956,334200,302.1395
1958,334800,251.3533
1961,335400,274.3254
1963,336000,317.1193
1965,336600,299.9039
1967,337200,316.8106
1969,337800,320.6856
1971,338400,312.892
1973,339000,313.0857
1975,339600,299.7876
1977,340200,305.4468
1979,340800,300.1656
1981,341400,309.5585
1983,342000,319.979
1985,342600,264.2295
1987,343200,320.5919
1989,343800,322.6018
1991,344400,294.4776
1993,345000,311.0709
1995,345600,309.0891
1997,346200,278.1874
1999,346800,317.7961
2001,347400,274.5421
2003,348000,300.3446
2005,348600,280.5096
2007,349200,323.1757
2009,349800,298.6439
2011,350400,293.8443
2013,351000,287.5392
