episode,timestep,reward
32,480,1.3359
67,960,1.5098
93,1440,1.6766
123,1920,1.6188
148,2400,1.8032
168,2880,1.9594
186,3360,2.0939
203,3840,2.1325
220,4320,2.3808
236,4800,2.4521
253,5280,2.3945
267,5760,2.9895
277,6240,2.9089
289,6720,3.5942
303,7200,2.7894
315,7680,3.5036
326,8160,4.27
337,8640,3.769
346,9120,6.3521
354,9600,6.5887
364,10080,4.5731
374,10560,6.0867
383,11040,4.4811
391,11520,9.8616
400,12000,8.9741
409,12480,8.1186
417,12960,8.7179
423,13440,16.0912
429,13920,16.4179
434,14400,18.6402
442,14880,11.2738
449,15360,18.1133
455,15840,22.1957
461,16320,20.2479
467,16800,21.7966
473,17280,17.708
477,17760,29.7659
483,18240,25.1508
489,18720,26.6989
494,19200,20.0528
499,19680,24.8546
503,20160,20.8998
508,20640,29.1868
515,21120,24.4545
521,21600,26.677
525,22080,41.7038
530,22560,29.6767
536,23040,31.5274
540,23520,37.2646
545,24000,28.1216
550,24480,45.7519
554,24960,33.8268
558,25440,32.5361
563,25920,37.9299
567,26400,39.3787
571,26880,34.1543
575,27360,40.0308
579,27840,39.9267
583,28320,44.4789
587,28800,46.6473
590,29280,48.2026
594,29760,43.1521
598,30240,35.0669
602,30720,43.4011
606,31200,43.7332
610,31680,47.1091
614,32160,43.5803
617,32640,43.2772
622,33120,35.853
625,33600,50.1375
628,34080,53.9543
632,34560,47.7875
635,35040,48.5618
638,35520,59.3378
642,36000,42.1902
646,36480,45.4339
649,36960,47.853
653,37440,53.1176
657,37920,38.0207
660,38400,52.4096
664,38880,50.4906
667,39360,46.6003
671,39840,51.0981
674,40320,52.2765
678,40800,49.6562
682,41280,53.2632
685,41760,50.5433
689,42240,57.7973
692,42720,52.1617
696,43200,45.2083
699,43680,54.2292
704,44160,46.4429
707,44640,47.3547
710,45120,62.9934
713,45600,58.2914
716,46080,63.9771
720,46560,47.0141
723,47040,57.1258
726,47520,63.552
729,48000,61.6166
732,48480,59.0469
735,48960,70.7985
738,49440,62.8403
741,49920,60.0272
744,50400,67.0394
748,50880,50.3698
751,51360,61.0468
753,51840,88.1848
755,52320,79.8738
758,52800,73.5123
761,53280,72.9427
764,53760,55.5159
766,54240,76.3291
768,54720,75.3089
771,55200,63.3782
774,55680,80.6711
776,56160,80.3524
778,56640,87.7088
780,57120,93.8336
783,57600,78.3472
785,58080,79.8698
787,58560,88.5561
789,59040,98.711
791,59520,93.6642
794,60000,94.6454
